,i,t0,t1,entity_i,entity_root,mention_text,mention_root,mention_pos,mention_tag,categ,entity_pos,entity_tag,entity_text
0,3,0,89,,UNKNOWN,a,a,DET,DT,unknown,,,
1,10,0,89,,NARRATOR,we,we,PRON,PRP,narrator,,,
2,14,0,89,,UNKNOWN,the,the,DET,DT,unknown,,,
3,17,0,89,,UNKNOWN,the,the,DET,DT,unknown,,,
4,28,0,89,,UNKNOWN,the,the,DET,DT,unknown,,,
5,31,0,89,,UNKNOWN,the,the,DET,DT,unknown,,,
6,38,0,89,,UNKNOWN,the,the,DET,DT,unknown,,,
7,41,0,89,,UNKNOWN,the,the,DET,DT,unknown,,,
8,44,0,89,,UNKNOWN,all,all,DET,PDT,unknown,,,
9,45,0,89,,UNKNOWN,the,the,DET,DT,unknown,,,
10,49,0,89,,UNKNOWN,the,the,DET,DT,unknown,,,
11,53,0,89,,UNKNOWN,the,the,DET,DT,unknown,,,
12,59,0,89,,UNKNOWN,the,the,DET,DT,unknown,,,
13,68,0,89,,UNKNOWN,the,the,DET,DT,unknown,,,
14,73,0,89,,UNKNOWN,the,the,DET,DT,unknown,,,
15,89,89,139,,UNKNOWN,the,the,DET,DT,unknown,,,
16,101,89,139,,UNKNOWN,the,the,DET,DT,unknown,,,
17,109,89,139,,UNKNOWN,the,the,DET,DT,unknown,,,
18,115,89,139,,UNKNOWN,the,the,DET,DT,unknown,,,
19,121,89,139,,UNKNOWN,the,the,DET,DT,unknown,,,
20,129,89,139,,UNKNOWN,the,the,DET,DT,unknown,,,
21,133,89,139,,UNKNOWN,they,they,PRON,PRP,unknown,,,
22,141,139,251,,UNKNOWN,the,the,DET,DT,unknown,,,
23,148,139,251,,UNKNOWN,the,the,DET,DT,unknown,,,
24,153,139,251,,ENVIRONMENT,it,it,PRON,PRP,environment,,,
25,160,139,251,,UNKNOWN,the,the,DET,DT,unknown,,,
26,168,139,251,,UNKNOWN,the,the,DET,DT,unknown,,,
27,177,139,251,,UNKNOWN,the,the,DET,DT,unknown,,,
28,181,139,251,,UNKNOWN,the,the,DET,DT,unknown,,,
29,189,139,251,,UNKNOWN,the,the,DET,DT,unknown,,,
30,193,139,251,,UNKNOWN,the,the,DET,DT,unknown,,,
31,197,139,251,,UNKNOWN,who,who,PRON,WP,unknown,,,
32,201,139,251,,UNKNOWN,the,the,DET,DT,unknown,,,
33,204,139,251,,UNKNOWN,the,the,DET,DT,unknown,,,
34,208,139,251,,UNKNOWN,his own,his own,DET,PRP$,unknown,,,
35,212,139,251,,ENVIRONMENT,that,that,DET,DT,environment,,,
36,215,139,251,,UNKNOWN,which,which,DET,WDT,unknown,,,
37,219,139,251,,UNKNOWN,the,the,DET,DT,unknown,,,
38,228,139,251,,UNKNOWN,its dark,its dark,DET,PRP$,unknown,,,
39,231,139,251,,ENVIRONMENT,that,that,DET,WDT,environment,,,
40,235,139,251,,UNKNOWN,no,no,DET,DT,unknown,,,
41,240,139,251,,UNKNOWN,an,an,DET,DT,unknown,,,
42,243,139,251,,UNKNOWN,an,an,DET,DT,unknown,,,
43,251,251,296,,UNKNOWN,The,the,DET,DT,unknown,,,
44,255,251,296,,UNKNOWN,which,which,DET,WDT,unknown,,,
45,258,251,296,,UNKNOWN,the,the,DET,DT,unknown,,,
46,267,251,296,,UNKNOWN,those,those,DET,DT,unknown,,,
47,271,251,296,,UNKNOWN,the,the,DET,DT,unknown,,,
48,274,251,296,,ENVIRONMENT,that,that,DET,WDT,environment,,,
49,284,251,296,,UNKNOWN,the,the,DET,DT,unknown,,,
50,289,251,296,,UNKNOWN,the,the,DET,DT,unknown,,,
51,301,296,342,,UNKNOWN,the,the,DET,DT,unknown,,,
52,305,296,342,,UNKNOWN,the,the,DET,DT,unknown,,,
53,308,296,342,,NARRATOR,we,we,PRON,PRP,narrator,,,
54,312,296,342,,UNKNOWN,the,the,DET,DT,unknown,,,
55,316,296,342,,UNKNOWN,the,the,DET,DT,unknown,,,
56,320,296,342,,UNKNOWN,which,which,DET,WDT,unknown,,,
57,324,296,342,,UNKNOWN,the,the,DET,DT,unknown,,,
58,348,342,447,,UNKNOWN,the,the,DET,DT,unknown,,,
59,354,342,447,,UNKNOWN,a,a,DET,DT,unknown,,,
60,365,342,447,,UNKNOWN,a,a,DET,DT,unknown,,,
61,371,342,447,,UNKNOWN,which,which,DET,WDT,unknown,,,
62,385,342,447,,UNKNOWN,an,an,DET,DT,unknown,,,
63,391,342,447,,UNKNOWN,the,the,DET,DT,unknown,,,
64,417,342,447,,UNKNOWN,the,the,DET,DT,unknown,,,
65,422,342,447,,UNKNOWN,which,which,DET,WDT,unknown,,,
66,423,342,447,,UNKNOWN,those,those,DET,DT,unknown,,,
67,431,342,447,,UNKNOWN,a,a,DET,DT,unknown,,,
68,436,342,447,,ENVIRONMENT,that,that,DET,WDT,environment,,,
69,443,342,447,,UNKNOWN,all,all,DET,DT,unknown,,,
70,451,447,521,,UNKNOWN,the,the,DET,DT,unknown,,,
71,454,447,521,,UNKNOWN,a,a,DET,DT,unknown,,,
72,461,447,521,,UNKNOWN,the,the,DET,DT,unknown,,,
73,472,447,521,,UNKNOWN,the,the,DET,DT,unknown,,,
74,477,447,521,,UNKNOWN,which,which,DET,WDT,unknown,,,
75,484,447,521,,UNKNOWN,the,the,DET,DT,unknown,,,
76,492,447,521,,UNKNOWN,the,the,DET,DT,unknown,,,
77,515,447,521,,UNKNOWN,the,the,DET,DT,unknown,,,
78,522,521,560,,NARRATOR,us,us,PRON,PRP,narrator,,,
79,525,521,560,,UNKNOWN,such,such,DET,PDT,unknown,,,
80,526,521,560,,UNKNOWN,a,a,DET,DT,unknown,,,
81,533,521,560,,UNKNOWN,the,the,DET,DT,unknown,,,
82,536,521,560,,UNKNOWN,the,the,DET,DT,unknown,,,
83,546,521,560,,UNKNOWN,the,the,DET,DT,unknown,,,
84,552,521,560,,UNKNOWN,which,which,DET,WDT,unknown,,,
85,556,521,560,,UNKNOWN,the,the,DET,DT,unknown,,,
86,560,560,646,,UNKNOWN,The,the,DET,DT,unknown,,,
87,570,560,646,,UNKNOWN,the,the,DET,DT,unknown,,,
88,573,560,646,,UNKNOWN,his well,his well,DET,PRP$,unknown,,,
89,590,560,646,,UNKNOWN,his plain,his plain,DET,PRP$,unknown,,,
90,605,560,646,,UNKNOWN,a,a,DET,DT,unknown,,,
91,613,560,646,,UNKNOWN,a,a,DET,DT,unknown,,,
92,626,560,646,,UNKNOWN,a,a,DET,DT,unknown,,,
93,638,560,646,,UNKNOWN,a,a,DET,DT,unknown,,,
94,646,646,719,,ENVIRONMENT,It,it,PRON,PRP,environment,,,
95,648,646,719,,UNKNOWN,a,a,DET,DT,unknown,,,
96,654,646,719,,UNKNOWN,a,a,DET,DT,unknown,,,
97,663,646,719,,UNKNOWN,the,the,DET,DT,unknown,,,
98,666,646,719,,UNKNOWN,the,the,DET,DT,unknown,,,
99,675,646,719,,UNKNOWN,the,the,DET,DT,unknown,,,
100,680,646,719,,UNKNOWN,the,the,DET,DT,unknown,,,
101,689,646,719,,UNKNOWN,the,the,DET,DT,unknown,,,
102,706,646,719,,UNKNOWN,the,the,DET,DT,unknown,,,
103,720,719,806,,ENVIRONMENT,it,it,PRON,PRP,environment,,,
104,724,719,806,,UNKNOWN,the,the,DET,DT,unknown,,,
105,727,719,806,,UNKNOWN,the,the,DET,DT,unknown,,,
106,738,719,806,,UNKNOWN,the,the,DET,DT,unknown,,,
107,748,719,806,,UNKNOWN,the,the,DET,DT,unknown,,,
108,752,719,806,,UNKNOWN,the,the,DET,DT,unknown,,,
109,754,719,806,,ENVIRONMENT,that,that,DET,WDT,environment,,,
110,758,719,806,,UNKNOWN,its grey,its grey,DET,PRP$,unknown,,,
111,764,719,806,,UNKNOWN,the,the,DET,DT,unknown,,,
112,772,719,806,,UNKNOWN,the,the,DET,DT,unknown,,,
113,787,719,806,,UNKNOWN,all,all,DET,PDT,unknown,,,
114,788,719,806,,UNKNOWN,the,the,DET,DT,unknown,,,
115,796,719,806,,UNKNOWN,which,which,DET,WDT,unknown,,,
116,804,719,806,,UNKNOWN,them,them,PRON,PRP,unknown,,,
117,821,817,901,,UNKNOWN,the,the,DET,DT,unknown,,,
118,829,817,901,,UNKNOWN,the,the,DET,DT,unknown,,,
119,834,817,901,,UNKNOWN,the,the,DET,DT,unknown,,,
120,838,817,901,,UNKNOWN,a,a,DET,DT,unknown,,,
121,847,817,901,,ENVIRONMENT,that,that,DET,DT,environment,,,
122,855,817,901,,UNKNOWN,the,the,DET,DT,unknown,,,
123,861,817,901,,UNKNOWN,a,a,DET,DT,unknown,,,
124,866,817,901,,UNKNOWN,the,the,DET,DT,unknown,,,
125,870,817,901,,UNKNOWN,the,the,DET,DT,unknown,,,
126,877,817,901,,UNKNOWN,the,the,DET,DT,unknown,,,
127,881,817,901,,UNKNOWN,the,the,DET,DT,unknown,,,
128,883,817,901,,ENVIRONMENT,that,that,DET,WDT,environment,,,
129,886,817,901,,UNKNOWN,the,the,DET,DT,unknown,,,
130,890,817,901,,ENVIRONMENT,that,that,DET,WDT,environment,,,
131,899,817,901,,ENVIRONMENT,it,it,PRON,PRP,environment,,,
132,901,901,934,,UNKNOWN,The,the,DET,DT,unknown,,,
133,909,901,934,,UNKNOWN,the,the,DET,DT,unknown,,,
134,912,901,934,,UNKNOWN,which,which,DET,WDT,unknown,,,
135,915,901,934,,UNKNOWN,his early,his early,DET,PRP$,unknown,,,
136,921,901,934,,UNKNOWN,a,a,DET,DT,unknown,,,
137,925,901,934,,UNKNOWN,the,the,DET,DT,unknown,,,
138,928,901,934,,UNKNOWN,a,a,DET,DT,unknown,,,
139,937,934,945,,UNKNOWN,its large,its large,DET,PRP$,unknown,,,
140,942,934,945,,UNKNOWN,the,the,DET,DT,unknown,,,
141,946,945,981,,UNKNOWN,the,the,DET,DT,unknown,,,
142,954,945,981,,UNKNOWN,its distant,its distant,DET,PRP$,unknown,,,
143,961,945,981,,UNKNOWN,the,the,DET,DT,unknown,,,
144,968,945,981,,UNKNOWN,the,the,DET,DT,unknown,,,
145,972,945,981,,UNKNOWN,them,them,PRON,PRP,unknown,,,
146,973,945,981,,UNKNOWN,all,all,DET,DT,unknown,,,
147,975,945,981,,UNKNOWN,the,the,DET,DT,unknown,,,
148,985,982,1013,,PERSON,he,he,PRON,PRP,person,,,
149,994,982,1013,,UNKNOWN,the,the,DET,DT,unknown,,,
150,998,982,1013,,ENVIRONMENT,that,that,DET,WDT,environment,,,
151,1003,982,1013,,UNKNOWN,the,the,DET,DT,unknown,,,
152,1017,1013,1052,,UNKNOWN,the,the,DET,DT,unknown,,,
153,1035,1013,1052,,UNKNOWN,the,the,DET,DT,unknown,,,
154,1044,1013,1052,,UNKNOWN,the,the,DET,DT,unknown,,,
155,1069,1052,1107,,UNKNOWN,them,them,PRON,PRP,unknown,,,
156,1070,1052,1107,,UNKNOWN,all,all,DET,DT,unknown,,,
157,1108,1107,1125,,UNKNOWN,what,what,DET,WDT,unknown,,,
158,1126,1125,1155,,ENVIRONMENT,it,it,PRON,PRP,environment,,,
159,1141,1125,1155,,UNKNOWN,another,another,DET,DT,unknown,,,
160,1148,1125,1155,,UNKNOWN,the,the,DET,DT,unknown,,,
161,1156,1155,1187,,ENVIRONMENT,this,this,DET,DT,environment,,,
162,1157,1155,1187,,UNKNOWN,the,the,DET,DT,unknown,,,
163,1161,1155,1187,,UNKNOWN,a,a,DET,DT,unknown,,,
164,1169,1155,1187,,UNKNOWN,the,the,DET,DT,unknown,,,
165,1177,1155,1187,,UNKNOWN,the,the,DET,DT,unknown,,,
166,1183,1155,1187,,UNKNOWN,these,these,DET,DT,unknown,,,
167,1192,1187,1199,,UNKNOWN,the,the,DET,DT,unknown,,,
168,1203,1199,1219,,UNKNOWN,all,all,DET,DT,unknown,,,
169,1206,1199,1219,,UNKNOWN,the,the,DET,DT,unknown,,,
170,1211,1199,1219,,ENVIRONMENT,that,that,DET,WDT,environment,,,
171,1214,1199,1219,,UNKNOWN,a,a,DET,DT,unknown,,,
172,1254,1254,1275,,UNKNOWN,These,these,DET,DT,unknown,,,
