"Sentence Text";Coded;Coder1;Coder2;Coder3;"Word Count";"Average Word Length";CC;CD;DT;EX;FW;IN;JJ;JJR;JJS;LS;MD;NN;NNS;NNP;NNPS;PDT;POS;PRP;PRP$;RB;RBR;RBS;RP;SYM;TO;UH;VB;VBD;VBG;VBN;VBP;VBZ;WDT;WP;WP$;WRB;"COCA1990 2012";"COCA2016 17";MTurk;PersonalBlogs;PoliticalBlogs;Refined;PDA500;TDA1710;"ALLPORT Metaphorical Doubtful";"ALLPORT Personal Traits";"ALLPORT Social Evaluations";"ALLPORT Temporary States";"COCA1990 2012 Count";"COCA2016 17 Count";"MTurk Count";"PersonalBlogs Count";"PoliticalBlogs Count";"Refined Count";"PDA500 Count";"TDA1710 Count";"ALLPORT Metaphorical Doubtful Count";"ALLPORT Personal Traits Count";"ALLPORT Social Evaluations Count";"ALLPORT Temporary States Count";"w2v cosine";"w2v euclid";"glove cosine";"glove euclid";O+;O-;C+;C-;E+;E-;A+;A-;N+;N-;SE+;SE-;ST+;ST-;CO+;CO-;OC+;OC-;ANNAM;ANNES;BETTY;BIDDY;CARTW;COLBR;DRDAV;EDWAR;ELINO;ELIBR;ELIWI;HARRY;WILLO;JHYMD;LADYE;LADYM;LDCOU;LDMOR;LUCYS;MARGA;MARIA;MARTH;MSCAR;MSGOD;MSMOR;MSSOP;MSSPA;MSWAL;MRDON;MRHAR;MRHEN;MRJEN;MRJOD;MRPRA;MRRIC;MRSIM;MRPAL;MRELL;MRROS;MSPAL;MSDSH;MSDEN;FANNY;MSFER;MSJEN;MSRIC;MSSMI;MSTAY;MSBUR;MSCLA;MSELL;GIBSO;RICST;ROBFE;SALLY;SRELL;SRMID;SRFER;OLDGD;WESTS;WHITS;THOMS;WMMID;PEOPL
CHAPTER 1   The family of Dashwood had long been settled in Sussex.;0;;;;10;4.5;0;0;1;0;0;2;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;"BE 1(family)";"BE 1(family)";"BE 1(family)";"BE 1(family)";"BE 1(family)";"BE 1(family)";;;"settled";;;;1;1;1;1;1;1;0;0;1;0;0;0;0.83;0.58;0.20;1.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Their estate was large, and their residence was at Norland Park, in the centre of their property, where, for many generations, they had lived in so respectable a manner as to engage the general good opinion of their surrounding acquaintance.";3;;PEOPL:A:X;OLDGD:E+:SE+;40;4.9;1;0;3;0;0;7;5;0;0;0;0;7;1;2;0;0;0;1;4;1;0;0;0;0;1;0;1;3;1;1;0;0;0;0;0;1;"BE 1(acquaintance), PO 1(property), SD 1(opinion), TR 1(generations)";"BE 1(acquaintance), PO 1(property), TR 1(generations)";"SD 1(opinion)";"BE 1(acquaintance), PO 1(property), SD 1(opinion), TR 1(generations)";"PO 1(property), TR 1(generations)";"BE 1(acquaintance), PO 1(property), SD 1(opinion), TR 1(generations)";;"respectable, good";"large";;"respectable, good";;4;3;1;4;2;4;0;2;1;0;2;0;0.83;0.58;0.22;1.22;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC3 (2) [ E+ 1, SE+ 1 ]";;;;;"HC2 (1) [ A+ 1 ]"
"The late owner of this estate was a single man, who lived to a very advanced age, and who for many years of his life, had a constant companion and housekeeper in his sister.";1;;;OLDGD:E-:CO+ ;34;4.0;2;0;5;0;0;4;5;0;0;0;0;8;1;0;0;0;0;0;2;1;0;0;0;0;1;0;0;3;0;0;0;0;0;2;0;0;"AC 1(advanced), BE 1(companion)";"AC 1(advanced), BE 1(companion)";;"BE 1(companion)";;"BE 1(companion)";"constant";;"single";;"late, advanced";;2;2;0;1;0;1;1;0;1;0;2;0;0.82;0.60;0.29;1.16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC3 (4) [ E+ 1, SE+ 1, E- 1, CO+ 1 ]";;;;;
"But her death, which happened ten years before his own, produced a great alteration in his home; for to supply her loss, he invited and received into his house the family of his nephew Mr. Henry Dashwood, the legal inheritor of the Norland estate, and the person to whom he intended to bequeath it.";7;OLDGD:N+:CO+;"OLDGD:X:CO, OLDGD:X:ST";OLDGD:X:OC- ;55;4.3;3;1;5;0;0;7;3;0;0;0;0;10;1;4;0;0;0;3;6;0;0;0;0;0;3;0;1;5;0;0;0;0;1;1;0;0;"BE 2(family, nephew), CO 1(legal)";"BE 1(family), CO 1(legal)";"BE 1(family), CO 1(legal)";"BE 1(family), CO 1(legal)";"BE 1(family), CO 1(legal)";"BE 1(family), CO 1(legal)";;"great";;;"it, great";;3;2;2;2;2;2;0;1;0;0;2;0;0.83;0.57;0.31;1.15;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC1 (2) [ N+ 1, CO+ 1 ], HC2 (2) [ ST+ 1, CO+ 1 ], HC3 (5) [ E+ 1, SE+ 1, E- 1, OC- 1, CO+ 1 ]";;;;;
"In the society of his nephew and niece, and their children, the old Gentleman's days were comfortably spent.";5;OLDGD:E+:X;;OLDGD:E+:SE+;18;4.8;2;0;2;0;0;2;1;0;0;0;0;3;2;1;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;"BE 1(nephew), HE 1(comfortably), UN 1(society)";"UN 1(society)";"UN 1(society)";"UN 1(society)";"UN 1(society)";"UN 1(society)";;"old";"old";;;"spent";3;1;1;1;1;1;0;1;1;0;0;1;0.82;0.60;0.29;1.16;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC1 (3) [ E+ 1, N+ 1, CO+ 1 ], HC3 (7) [ E+ 2, SE+ 2, E- 1, OC- 1, CO+ 1 ]";;;;;
His attachment to them all increased.;1;;;OLDGD:E+:SE+;6;5.2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0.84;0.57;0.33;1.13;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC3 (9) [ E+ 3, SE+ 3, E- 1, OC- 1, CO+ 1 ]";;;;;
"The constant attention of Mr. and Mrs. Henry Dashwood to his wishes, which proceeded not merely from interest, but from goodness of heart, gave him every degree of solid comfort which his age could receive; and the cheerfulness of the children added a relish to his existence.";7;"MRHEN:A+:ST+, MRHEN:X:SE+, OLDGD:E+:X, MSDSH:A+:ST";"MRHEN:A+:X, MSDSH:A+:X, OLDGD:X:CO";"OLDGD:E+:X , MRHEN:A+:ST+ , MSDSH:A+:ST+";48;4.7;3;0;5;0;0;6;2;0;0;0;1;10;2;4;0;0;0;1;3;2;0;0;0;0;2;0;1;3;0;0;0;0;2;0;0;0;"BE 1(goodness), HE 3(comfort, cheerfulness, relish), SE 1(attention), SD 1(interest)";"HE 1(comfort), SE 1(attention)";"SD 1(interest)";"BE 1(goodness), HE 2(comfort, relish), SE 1(attention), SD 1(interest)";"SD 1(interest)";"BE 1(goodness), HE 2(comfort, relish), SE 1(attention), SD 1(interest)";"constant";;;;"solid";;6;2;1;5;1;5;1;0;0;0;1;0;0.82;0.59;0.31;1.15;0;0;0;0;2;0;6;0;0;0;1;0;3;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC1 (3) [ SE+ 1, A+ 1, ST+ 1 ], HC2 (1) [ A+ 1 ], HC3 (2) [ ST+  1, A+ 1 ]";;;;;;;;;;"HC1 (2) [ A+ 1, ST+ 1 ], HC2 (1) [ A+ 1 ], HC3 (2) [ A+ 1, ST+ 1 ]";;;;;;;;;;;;;;;;;;"HC1 (4) [ E+ 2, N+ 1, CO+ 1 ], HC2 (3) [ ST+ 1, CO+ 2 ], HC3 (11) [ X + 1, E+ 4, SE+ 3, E- 1, OC- 1, CO+ 1 ]";;;;;
"By a former marriage, Mr. Henry Dashwood had one son: by his present lady, three daughters.";1;;;MRHEN:X:OC+;17;4.3;0;2;1;0;0;2;2;0;0;0;0;3;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"TR 1(marriage)";"TR 1(marriage)";"TR 1(marriage)";;;"TR 1(marriage)";;;"present";;"lady";;1;1;1;0;0;1;0;0;1;0;1;0;0.84;0.57;0.38;1.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC3 (3) [ ST+  1, OC+ 1, A+ 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"The son, a steady respectable young man, was amply provided for by the fortune of his mother, which had been large, and half of which devolved on him on his coming of age.";6;MRJOD:C+:X;"MRJOD:C:X, MRJOD:A:X";;33;4.1;1;0;3;0;0;7;4;0;0;0;0;6;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;3;1;2;0;0;2;0;0;0;"BE 1(mother), PO 1(fortune)";"BE 1(mother), PO 1(fortune)";"BE 1(mother)";"PO 1(fortune)";"BE 1(mother), PO 1(fortune)";"BE 1(mother), PO 1(fortune)";"steady";"young, respectable";"large, young";"steady";"respectable";;2;2;1;1;2;2;1;2;2;1;1;0;0.84;0.56;0.32;1.15;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC1 (1) [ C+ 1 ], HC2 (2) [ C+ 1, A+ 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"By his own marriage, likewise, which happened soon afterwards, he added to his wealth.";0;;;;14;4.9;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;1;2;3;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;"PO 1(wealth), TR 1(marriage)";"PO 1(wealth), TR 1(marriage)";"TR 1(marriage)";"PO 1(wealth)";"PO 1(wealth)";"PO 1(wealth), TR 1(marriage)";;;;;;;2;2;1;1;1;2;0;0;0;0;0;0;0.83;0.57;0.34;1.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
