,i,t0,t1,entity_i,entity_root,mention_text,mention_root,mention_pos,mention_tag,categ,entity_pos,entity_tag,entity_text
0,4,0,11,,UNKNOWN,THE,the,DET,DT,unknown,,,
1,12,12,14,,NARRATOR,I,i,PRON,PRP,narrator,,,
2,15,14,41,,UNKNOWN,an,an,DET,DT,unknown,,,
3,21,14,41,,UNKNOWN,an,an,DET,DT,unknown,,,
4,27,14,41,,UNKNOWN,the,the,DET,DT,unknown,,,
5,37,14,41,,UNKNOWN,her only,her only,DET,PRP$,unknown,,,
6,45,41,102,,UNKNOWN,a,a,DET,DT,unknown,,,
7,54,41,102,,UNKNOWN,the,the,DET,DT,unknown,,,
8,59,41,102,,UNKNOWN,the,the,DET,DT,unknown,,,
9,64,41,102,,UNKNOWN,an,an,DET,DT,unknown,,,
10,77,41,102,,UNKNOWN,the,the,DET,DT,unknown,,,
11,81,41,102,,UNKNOWN,whose mild,whose mild,DET,WP$,unknown,,,
12,87,41,102,,ENVIRONMENT,that,that,DET,DT,environment,,,
13,94,41,102,,UNKNOWN,which,which,DET,WDT,unknown,,,
14,116,102,156,,UNKNOWN,the,the,DET,DT,unknown,,,
15,119,102,156,,UNKNOWN,a,a,DET,DT,unknown,,,
16,122,102,156,,UNKNOWN,who,who,PRON,WP,unknown,,,
17,126,102,156,,UNKNOWN,an,an,DET,DT,unknown,,,
18,131,102,156,,UNKNOWN,the,the,DET,DT,unknown,,,
19,139,102,156,,UNKNOWN,the,the,DET,DT,unknown,,,
20,145,102,156,,UNKNOWN,the,the,DET,DT,unknown,,,
21,151,102,156,,UNKNOWN,those,those,DET,DT,unknown,,,
22,152,102,156,,UNKNOWN,who,who,PRON,WP,unknown,,,
23,160,156,194,,UNKNOWN,the,the,DET,DT,unknown,,,
24,163,156,194,,UNKNOWN,which,which,DET,WDT,unknown,,,
25,166,156,194,,ENVIRONMENT,that,that,DET,DT,environment,,,
26,173,156,194,,ENVIRONMENT,it,it,PRON,PRP,environment,,,
27,175,156,194,,UNKNOWN,the,the,DET,DT,unknown,,,
28,179,156,194,,UNKNOWN,all,all,DET,DT,unknown,,,
29,180,156,194,,UNKNOWN,who,who,PRON,WP,unknown,,,
30,186,156,194,,UNKNOWN,the,the,DET,DT,unknown,,,
31,200,194,228,,UNKNOWN,some,some,DET,DT,unknown,,,
32,203,194,228,,UNKNOWN,the,the,DET,DT,unknown,,,
33,210,194,228,,UNKNOWN,the,the,DET,DT,unknown,,,
34,217,194,228,,UNKNOWN,a,a,DET,DT,unknown,,,
35,220,194,228,,UNKNOWN,the,the,DET,DT,unknown,,,
36,222,194,228,,UNKNOWN,which,which,DET,WDT,unknown,,,
37,230,228,286,,UNKNOWN,a,a,DET,DT,unknown,,,
38,236,228,286,,UNKNOWN,which,which,DET,WDT,unknown,,,
39,241,228,286,,UNKNOWN,a,a,DET,DT,unknown,,,
40,246,228,286,,UNKNOWN,who,who,PRON,WP,unknown,,,
41,266,228,286,,UNKNOWN,a,a,DET,DT,unknown,,,
42,272,228,286,,UNKNOWN,which,which,DET,WDT,unknown,,,
43,280,228,286,,UNKNOWN,her young,her young,DET,PRP$,unknown,,,
44,290,290,352,,ENVIRONMENT,that,that,DET,DT,environment,,,
45,295,290,352,,UNKNOWN,which,which,DET,WDT,unknown,,,
46,298,290,352,,ENVIRONMENT,it,it,PRON,PRP,environment,,,
47,308,290,352,,UNKNOWN,the,the,DET,DT,unknown,,,
48,315,290,352,,UNKNOWN,the,the,DET,DT,unknown,,,
49,323,290,352,,UNKNOWN,a,a,DET,DT,unknown,,,
50,336,290,352,,UNKNOWN,the,the,DET,DT,unknown,,,
51,339,290,352,,UNKNOWN,which,which,DET,WDT,unknown,,,
52,340,290,352,,ENVIRONMENT,it,it,PRON,PRP,environment,,,
53,343,290,352,,UNKNOWN,the,the,DET,DT,unknown,,,
54,396,352,416,,UNKNOWN,which,which,DET,WDT,unknown,,,
55,411,352,416,,UNKNOWN,these,these,DET,DT,unknown,,,
56,412,352,416,,UNKNOWN,her favourite,her favourite,DET,PRP$,unknown,,,
57,418,416,476,,ENVIRONMENT,it,it,PRON,PRP,environment,,,
58,425,416,476,,UNKNOWN,the,the,DET,DT,unknown,,,
59,428,416,476,,UNKNOWN,the,the,DET,DT,unknown,,,
60,430,416,476,,UNKNOWN,which,which,DET,WDT,unknown,,,
61,469,416,476,,UNKNOWN,the,the,DET,DT,unknown,,,
62,481,476,511,,UNKNOWN,whatever,whatever,DET,WDT,unknown,,,
63,492,476,511,,UNKNOWN,every,every,DET,DT,unknown,,,
64,528,511,532,,UNKNOWN,a,a,DET,DT,unknown,,,
65,540,532,589,,UNKNOWN,the,the,DET,DT,unknown,,,
66,543,532,589,,UNKNOWN,an,an,DET,DT,unknown,,,
67,563,532,589,,UNKNOWN,her little,her little,DET,PRP$,unknown,,,
68,566,532,589,,UNKNOWN,a,a,DET,DT,unknown,,,
69,574,532,589,,UNKNOWN,the,the,DET,DT,unknown,,,
70,576,532,589,,UNKNOWN,which,which,DET,WDT,unknown,,,
71,577,532,589,,UNKNOWN,the,the,DET,DT,unknown,,,
72,585,532,589,,UNKNOWN,a,a,DET,DT,unknown,,,
73,591,589,656,,ENVIRONMENT,it,it,PRON,PRP,environment,,,
74,611,589,656,,UNKNOWN,a,a,DET,DT,unknown,,,
75,626,589,656,,UNKNOWN,which,which,DET,WDT,unknown,,,
76,628,589,656,,UNKNOWN,a,a,DET,DT,unknown,,,
77,633,589,656,,UNKNOWN,a,a,DET,DT,unknown,,,
78,639,589,656,,ENVIRONMENT,that,that,DET,WDT,environment,,,
79,650,589,656,,UNKNOWN,the,the,DET,DT,unknown,,,
80,671,656,676,,UNKNOWN,a,a,DET,DT,unknown,,,
81,678,676,709,,UNKNOWN,the,the,DET,DT,unknown,,,
82,687,676,709,,ENVIRONMENT,this,this,DET,DT,environment,,,
83,693,676,709,,UNKNOWN,a,a,DET,DT,unknown,,,
84,703,676,709,,UNKNOWN,the,the,DET,DT,unknown,,,
85,726,714,790,,UNKNOWN,a,a,DET,DT,unknown,,,
86,730,714,790,,UNKNOWN,the,the,DET,DT,unknown,,,
87,733,714,790,,UNKNOWN,the,the,DET,DT,unknown,,,
88,738,714,790,,UNKNOWN,what,what,PRON,WP,unknown,,,
89,740,714,790,,UNKNOWN,the,the,DET,DT,unknown,,,
90,754,714,790,,UNKNOWN,the,the,DET,DT,unknown,,,
91,766,714,790,,UNKNOWN,the,the,DET,DT,unknown,,,
92,772,714,790,,UNKNOWN,the,the,DET,DT,unknown,,,
93,792,790,854,,UNKNOWN,her unbounded,her unbounded,DET,PRP$,unknown,,,
94,795,790,854,,UNKNOWN,the,the,DET,DT,unknown,,,
95,799,790,854,,UNKNOWN,the,the,DET,DT,unknown,,,
96,804,790,854,,UNKNOWN,her own,her own,DET,PRP$,unknown,,,
97,809,790,854,,UNKNOWN,the,the,DET,DT,unknown,,,
98,817,790,854,,UNKNOWN,those,those,DET,DT,unknown,,,
99,820,790,854,,UNKNOWN,the,the,DET,DT,unknown,,,
100,828,790,854,,UNKNOWN,which,which,DET,WDT,unknown,,,
101,836,790,854,,UNKNOWN,the,the,DET,DT,unknown,,,
102,840,790,854,,UNKNOWN,her venerable,her venerable,DET,PRP$,unknown,,,
103,843,790,854,,UNKNOWN,whom,whom,PRON,WP,unknown,,,
