,categ,entity_i,entity_pos,entity_root,entity_tag,entity_text,i,mention_pos,mention_root,mention_tag,mention_text,t0,t1
0,narrator,,,narrator,,,3,DET,my,PRP$,My,0,33
1,narrator,,,narrator,,,12,DET,my,PRP$,my,0,33
2,narrator,,,narrator,,,17,DET,my,PRP$,my,0,33
3,unknown,,,unknown,,,23,DET,both,DT,both,0,33
4,narrator,,,narrator,,,35,PRON,i,PRP,I,33,48
5,narrator,,,narrator,,,37,PRON,myself,PRP,myself,33,48
6,narrator,,,narrator,,,48,PRON,i,PRP,I,48,68
7,narrator,,,narrator,,,52,DET,my,PRP$,my,48,68
8,unknown,,,unknown,,,59,DET,the,DT,the,48,68
9,narrator,,,narrator,,,65,DET,my,PRP$,my,48,68
10,unknown,,,unknown,,,70,PRON,who,WP,who,68,75
11,unknown,,,unknown,,,72,DET,the,DT,the,68,75
12,narrator,,,narrator,,,76,PRON,i,PRP,I,75,121
13,unknown,,,unknown,,,88,DET,any,DT,any,75,121
14,unknown,,,unknown,,,91,DET,either,DT,either,75,121
15,narrator,,,narrator,,,106,DET,my,PRP$,my,75,121
16,unknown,,,unknown,,,110,PRON,what,WP,what,75,121
17,unknown,,,unknown,,,121,DET,the,DT,The,121,152
18,unknown,,,unknown,,,124,DET,the,DT,the,121,152
19,narrator,,,narrator,,,132,PRON,me,PRP,me,121,152
20,unknown,,,unknown,,,133,DET,an,DT,an,121,152
21,unknown,,,unknown,,,139,DET,a,DT,a,121,152
22,unknown,,,unknown,,,153,DET,the,DT,the,152,183
23,unknown,,,unknown,,,158,DET,the,DT,the,152,183
24,unknown,,,unknown,,,166,DET,the,DT,the,152,183
25,narrator,,,narrator,,,170,PRON,i,PRP,I,152,183
26,unknown,,,unknown,,,172,DET,a,DT,a,152,183
27,narrator,,,narrator,,,176,DET,my,PRP$,my,152,183
28,unknown,,,unknown,,,189,DET,each,DT,each,183,274
29,unknown,,,unknown,,,191,DET,a,DT,a,183,274
30,unknown,,,unknown,,,194,DET,a,DT,a,183,274
31,unknown,,,unknown,,,198,DET,which,WDT,which,183,274
32,unknown,,,unknown,,,202,DET,a,DT,a,183,274
33,unknown,,,unknown,,,213,DET,the,DT,the,183,274
34,unknown,,,unknown,,,226,DET,a,DT,a,183,274
35,environment,,,environment,,,232,DET,that,DT,that,183,274
36,unknown,,,unknown,,,238,DET,a,DT,a,183,274
37,narrator,,,narrator,,,240,PRON,i,PRP,I,183,274
38,unknown,,,unknown,,,246,DET,all,DT,all,183,274
39,environment,,,environment,,,268,DET,this,DT,this,183,274
40,unknown,,,unknown,,,276,DET,the,DT,the,274,297
41,unknown,,,unknown,,,282,DET,the,DT,the,274,297
42,unknown,,,unknown,,,288,DET,the,DT,the,274,297
43,unknown,,,unknown,,,294,DET,the,DT,the,274,297
44,narrator,,,narrator,,,297,DET,my,PRP$,My,297,319
45,unknown,,,unknown,,,305,DET,the,DT,the,297,319
46,narrator,,,narrator,,,311,PRON,me,PRP,me,297,319
47,unknown,,,unknown,,,320,DET,such,PDT,such,319,463
48,unknown,,,unknown,,,321,DET,a,DT,a,319,463
49,narrator,,,narrator,,,323,PRON,i,PRP,I,319,463
50,environment,,,environment,,,329,DET,this,DT,this,319,463
51,unknown,,,unknown,,,336,DET,the,DT,the,319,463
52,environment,,,environment,,,345,DET,this,DT,this,319,463
53,unknown,,,unknown,,,353,DET,the,DT,the,319,463
54,unknown,,,unknown,,,377,DET,the,DT,the,319,463
55,unknown,,,unknown,,,388,DET,the,DT,the,319,463
56,unknown,,,unknown,,,393,DET,the,DT,the,319,463
57,environment,,,environment,,,409,PRON,it,PRP,it,319,463
58,unknown,,,unknown,,,412,DET,the,DT,the,319,463
59,unknown,,,unknown,,,417,DET,the,DT,the,319,463
60,unknown,,,unknown,,,423,DET,the,DT,the,319,463
61,unknown,,,unknown,,,428,DET,the,DT,the,319,463
62,unknown,,,unknown,,,433,DET,which,WDT,which,319,463
63,unknown,,,unknown,,,434,DET,the,DT,the,319,463
64,unknown,,,unknown,,,439,DET,the,DT,the,319,463
65,unknown,,,unknown,,,444,DET,the,DT,the,319,463
66,environment,,,environment,,,452,PRON,it,PRP,it,319,463
67,unknown,,,unknown,,,453,DET,all,DT,all,319,463
68,reader,,,reader,,,465,DET,your,PRP$,your,463,491
69,unknown,,,unknown,,,470,DET,a,DT,a,463,491
70,unknown,,,unknown,,,475,DET,a,DT,a,463,491
71,unknown,,,unknown,,,481,DET,the,DT,the,463,491
72,unknown,,,unknown,,,484,DET,the,DT,the,463,491
73,unknown,,,unknown,,,487,DET,the,DT,the,463,491
74,reader,,,reader,,,495,PRON,you,PRP,you,492,506
75,narrator,,,narrator,,,500,PRON,i,PRP,I,492,506
76,reader,,,reader,,,503,DET,your,PRP$,your,492,506
77,unknown,,,unknown,,,508,DET,a,DT,A,506,525
78,unknown,,,unknown,,,512,DET,all,DT,all,506,525
79,unknown,,,unknown,,,518,DET,a,DT,a,506,525
80,person,,,person,,,522,DET,his,PRP$,his,506,525
81,unknown,,,unknown,,,546,DET,a,DT,A,546,608
82,unknown,,,unknown,,,548,PRON,who,WP,who,546,608
83,unknown,,,unknown,,,580,PRON,who,WP,who,546,608
84,unknown,,,unknown,,,593,DET,whose,WP$,whose,546,608
85,narrator,,,narrator,,,602,PRON,me,PRP,me,546,608
86,unknown,,,unknown,,,604,DET,the,DT,the,546,608
87,narrator,,,narrator,,,614,DET,my,PRP$,my,611,625
88,narrator,,,narrator,,,620,PRON,i,PRP,I,611,625
89,environment,,,environment,,,630,PRON,it,PRP,it,626,636
90,unknown,,,unknown,,,665,DET,the,DT,the,659,672
91,narrator,,,narrator,,,670,PRON,me,PRP,me,659,672
92,reader,,,reader,,,692,PRON,you,PRP,you,688,700
93,unknown,,,unknown,,,703,DET,the,DT,the,701,706
94,narrator,,,narrator,,,708,PRON,i,PRP,I,706,738
95,unknown,,,unknown,,,712,DET,our,PRP$,our,706,738
96,unknown,,,unknown,,,717,DET,the,DT,the,706,738
97,unknown,,,unknown,,,723,DET,the,DT,the,706,738
98,unknown,,,unknown,,,746,DET,a,DT,a,738,759
99,narrator,,,narrator,,,750,PRON,me,PRP,me,738,759
100,narrator,,,narrator,,,794,PRON,i,PRP,I,770,806
101,unknown,,,unknown,,,796,DET,the,DT,the,770,806
102,narrator,,,narrator,,,799,DET,my,PRP$,my,770,806
103,narrator,,,narrator,,,807,PRON,i,PRP,I,806,827
104,narrator,,,narrator,,,810,PRON,i,PRP,I,806,827
105,unknown,,,unknown,,,814,DET,a,DT,a,806,827
106,reader,,,reader,,,828,PRON,you,PRP,You,827,850
107,unknown,,,unknown,,,842,PRON,what,WP,what,827,850
108,reader,,,reader,,,845,PRON,you,PRP,you,827,850
109,narrator,,,narrator,,,852,PRON,i,PRP,I,852,873
110,unknown,,,unknown,,,854,PRON,they,PRP,they,852,873
111,narrator,,,narrator,,,859,PRON,i,PRP,I,852,873
112,environment,,,environment,,,862,DET,that,DT,that,852,873
113,narrator,,,narrator,,,875,PRON,me,PRP,me,874,898
